Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Year
Amy Lukavics,Daughters Unto Devils,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
F. T. Lukens,In Deeper Waters,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Kyle Lukoff,Call Me Max (Max and Friends Series),Banned in Libraries and Classrooms,,"Lozano, Luciano",,Florida,Palm Beach County School District,April 2022,Administration,2022
Kyle Lukoff,Call Me Max (Max and Friends Series),Banned in Libraries and Classrooms,,"Lozano, Luciano",,Indiana,Carmel Clay Schools,July 2021,Administration,2021
Kyle Lukoff,When Aidan Became A Brother,Banned Pending Investigation,,"Juanita, Kaylani",,Florida,Duval County Public Schools,January 2022,Administration,2022
Kyle Lukoff,When Aidan Became A Brother,Banned in Libraries and Classrooms,,"Juanita, Kaylani",,Virginia,Roanoke County Public Schools,January 2022,Formal Challenge,2022
Rabiah York Lumbard,The Gift of Ramadan,Banned Pending Investigation,,"Horton, Laura K.",,Florida,Duval County Public Schools,January 2022,Administration,2022
Chokwe Lumumba,"Reparations, Yes!: The Legal And Political Reasons Why New Afrikans, Black People In North America, Should Be Paid Now For The Enslavement Of Our Ancestors",Banned in Classrooms,"Obadele, Imari Abubakari; Taifa, Nkechi",,,Pennsylvania,Central York School District,August 2021,Administration,2021
Cameron Lund,The Best Laid Plans,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Britta Lundin,Ship It,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Britta Lundin,Ship It,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
April Lurie,The Less-dead,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jamila Lyiscott,"Black Appetite. White Food.: Issues of Race, Voice, and Justice Within and Beyond the Classroom",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
George Ella Lyon,Sonny's House of Spies,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
George Ella Lyon,Sonny's House of Spies,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Kelly Starling Lyons,Going Down Home with Daddy,Banned Pending Investigation,,"Minter, Daniel",,Florida,Duval County Public Schools,January 2022,Administration,2022
Kelly Starling Lyons,"Sing a Song: How ""Lift Every Voice and Sing"" Inspired Generations",Banned Pending Investigation,,"Mallett, Keith",,Florida,Duval County Public Schools,January 2022,Administration,2022
Kelly Starling Lyons,"Sing a Song: How ""Lift Every Voice and Sing"" Inspired Generations",Banned in Classrooms,,"Mallett, Keith",,Pennsylvania,Central York School District,August 2021,Administration,2021
Diana Ma,Heiress Apparently (Daughters of the Dynasty Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Sarah J. Maas,A Court of Frost and Starlight (A Court of Thorns and Roses Series),Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administration,2022
Sarah J. Maas,A Court of Frost and Starlight (A Court of Thorns and Roses Series),Banned in Libraries,,,,Florida,St. Johns County School District,May 2022,Formal Challenge,2022
Sarah J. Maas,A Court of Frost and Starlight (A Court of Thorns and Roses Series),Banned in Classrooms,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Sarah J. Maas,A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administration,2022
Sarah J. Maas,A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administration,2021
Sarah J. Maas,A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administration,2022
Sarah J. Maas,A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Sarah J. Maas,A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administration,2022
Sarah J. Maas,A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned in Libraries,,,,Tennessee,Wilson County School District,May 2022,Other,2022
Sarah J. Maas,A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,January 2022,Administration,2022
Sarah J. Maas,A ​Court of Silver Flames (A Court of Thorns and Roses Series),Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administration,2022
Sarah J. Maas,A ​Court of Silver Flames (A Court of Thorns and Roses Series),Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administration,2021
Sarah J. Maas,A Court of Thorns and Roses (A Court of Thorns and Roses Series),Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administration,2022
Sarah J. Maas,A Court of Thorns and Roses (A Court of Thorns and Roses Series),Banned in Libraries,,,,Texas,Katy Independent School District,October 2021,Administration,2021
Sarah J. Maas,A Court of Wings and Ruin (A Court of Thorns and Roses Series),Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administration,2022
Sarah J. Maas,Empire of Storms (Throne of Glass Series),Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administration,2022
Sarah J. Maas,House of Earth and Blood (Crescent City Series),Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administration,2022
Sarah J. Maas,House of Sky and Breath (Crescent City Series),Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administration,2022
Carrie Mac,10 Things I Can See from Here,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Carrie Mac,10 Things I Can See from Here,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Carrie Mac,Charmed,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Carrie Mac,Crush,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Carrie Mac,The Way Back,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Sheila MacGill-Callahan,And Still the Turtle Watched,Banned Pending Investigation,,"Moser, Barry",,Florida,Duval County Public Schools,January 2022,Administration,2022
Carmen Maria Machado,In the Dream House,Banned in Classrooms,,,,Texas,Leander Independent School District,September 2021,Administration,2021
Carmen Maria Machado,In the Dream House,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Kyo Maclear,It Began with a Page: How Gyo Fujikawa Drew the Way,Banned Pending Investigation,,"Morstad, Julie",,Florida,Duval County Public Schools,January 2022,Administration,2022
Megan Madison,Our Skin: A First Conversation About Race,Banned in Libraries,"Ralli, Jessica","Roxas, Isabel",,New Jersey,Westfield Public Schools,September 2021,Formal Challenge,2021
Tahereh Mafi,Unravel Me (Shatter Me Series),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Michael James Mahin,When Angels Sing: The Story of Rock Legend Carlos Santana,Banned Pending Investigation,,José Ramirez,,Florida,Duval County Public Schools,January 2022,Administration,2022
Kevin Noble Maillard,Fry Bread: A Native American Family Story,Banned in Classrooms,,"Martinez-Neal, Juana",,Pennsylvania,Central York School District,August 2021,Administration,2021
Corey Maison,Identity: A Story of Transitioning,Banned Pending Investigation,"Anthony, Zuiker","Smith, Ahmara",,Texas,North East Independent School District,December 2021,Administration,2021
Kenan Malik,Strange Fruit: Why Both Sides Are Wrong in the Race Debate,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Fedwa Malti-Douglas,Encyclopedia of Sex & Gender: 4 Volume Set,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Jenny Manzer,My Life as a Diamond,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Hal Marcovitz,Teens & Sex,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Ashley Mardell,The ABC's of LGBT+,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
MariNaomi,Losing the Girl: Book 1 (Life on Earth),Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administration,2021
Bob Marley,"Get Up, Stand Up",Banned in Classrooms,"Marley Booker, Cedella","Cabuay, John Jay",,Pennsylvania,Central York School District,August 2021,Administration,2021
Julie Maroh,Blue Is the Warmest Color,Banned in Libraries and Classrooms,,,"Hahnenberger, Ivanka",Texas,Frisco Independent School District,April 2022,Administration,2022
Wynton Marsalis,"Squeak, Rumble, Whomp! Whomp! Whomp!: A Sonic Adventure",Banned in Classrooms,,"Rogers, Paul",,Pennsylvania,Central York School District,August 2021,Administration,2021
Carolyn Marsden,The Gold-Threaded Dress,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Sarah Glenn Marsh,The Girls Are Never Gone,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Bill Martin Jr.,Knots on a Counting Rope,Banned Pending Investigation,"Archambault, John","Rand, Ted",,Florida,Duval County Public Schools,January 2022,Administration,2022
Ann M. Martin,Boy-Crazy Stacey (The Baby-Sitters Club Series),Banned in Libraries,,,,Missouri,Fox C-6 School District,May 2022,Formal Challenge,2022
Rafe Martin,The Rough-Face Girl,Banned Pending Investigation,,"Shannon, David",,Florida,Duval County Public Schools,January 2022,Administration,2022
Juana Martinez-Neal,Alma and How She Got Her Name,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Juana Martinez-Neal,Alma and How She Got Her Name,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Vitor Martins,Here the Whole Time,Banned Pending Investigation,,,"Helena, Larissa",Tennessee,Collierville Schools,February 2022,Administration,2022
Estelle Maskame,Did I Mention I Need You? (DIMILY Series),Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Jennifer Mathieu,The Truth About Alice: A Novel,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Jennifer Mathieu,The Truth About Alice: A Novel,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administration,2022
Jennifer Mathieu,The Truth About Alice: A Novel,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administration,2022
Jennifer Mathieu,The Truth About Alice: A Novel,Banned Pending Investigation,,,,Florida,Santa Rosa County District Schools,April 2022,Administration,2022
Jennifer Mathieu,The Truth About Alice: A Novel,Banned in Libraries,,,,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,2022
Jennifer Mathieu,The Truth About Alice: A Novel,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Imbolo Mbue,How Beautiful We Were,Banned in Libraries and Classrooms,,,,South Dakota,Rapid City Area Schools,April 2022,Administration,2022
Tash McAdam,Blood Sport,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Sarah McBride,"Tomorrow Will Be Different: Love, Loss, and the Fight for Trans Equality",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Megan McCafferty,Sloppy Firsts (Jessica Darling Series),Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administration,2022
Megan McCafferty,Sloppy Firsts (Jessica Darling Series),Banned in Libraries,,,,Florida,Lee County Schools,May 2022,Administration,2022
Megan McCafferty,Sloppy Firsts (Jessica Darling Series),Banned in Libraries and Classrooms,,,,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,2022
Megan McCafferty,Sloppy Firsts (Jessica Darling Series),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Norah McClintock,Masked,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Norah McClintock,Masked,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Patricia McCormick,Sold,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administration,2022
Patricia McCormick,Sold,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Patricia McCormick,Sold,Banned in Libraries and Classrooms,,,,Florida,Sarasota County School,May 2022,Administration,2022
Patricia McCormick,Sold,Banned in Libraries,,,,Florida,St. Johns County School District,May 2022,Formal Challenge,2022
Patricia McCormick,Sold,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administration,2022
Patricia McCormick,Sold,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Patricia McCormick,Sold,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Kathy McCoy,The Teenage Body Book,Banned in Libraries,"Wibbelsman, Charles",,,Texas,Cypress-Fairbanks Independent School District,January 2022,Administration,2022
Kathy McCoy,The Teenage Body Book,Banned in Libraries,"Wibbelsman, Charles",,,Texas,North East Independent School District,December 2021,Administration,2021
Mary McCoy,Indestructible Object,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Joy McCullough,Blood Water Paint,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Breanna J. McDaniel,Hands Up!,Banned in Classrooms,,"Evans, Shane W.",,Pennsylvania,Central York School District,August 2021,Administration,2021
Yona Zeldis McDonough,What Was the Underground Railroad? (What was...? Series),Banned in Classrooms,,"Mortimer, Lauren",,Pennsylvania,Central York School District,August 2021,Administration,2021
Shannon McFerran,Synchro Boy,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Holly M. McGhee,Come with Me,Banned in Classrooms,,Pascal Lemaître,,Pennsylvania,Central York School District,August 2021,Administration,2021
Mindy McGinnis,Heroine,Banned Pending Investigation,,,,Missouri,Rockwood School District,October 2021,Formal Challenge,2021
Seanan McGuire,Every Heart a Doorway (Seanan McGuire Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Charlton D. McIlwain,"Black Software: The Internet & Racial Justice, from the Afronet to Black Lives Matter",Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Kenneth McIntosh,Gender Issues (Living with a Special Need),Banned in Libraries,"Walker, Ida",,,Texas,North East Independent School District,December 2021,Administration,2021
Hilary McKay,Lulu and the Duck in the Park (Lulu Series),Banned in Classrooms,,"Lamont, Priscilla",,Pennsylvania,Central York School District,August 2021,Administration,2021
DeRay Mckesson,On the Other Side of Freedom: The Case for Hope,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Anna-Marie McLemore,Blanca & Roja,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Anna-Marie McLemore,Dark and Deepest Red,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Anna-Marie McLemore,When the Moon Was Ours,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Anna-Marie McLemore,When the Moon Was Ours,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Charlene Willing McManis,Indian No More,Banned Pending Investigation,"Sorell, Traci",,,Florida,Duval County Public Schools,January 2022,Administration,2022
Charlene Willing McManis,Indian No More,Banned in Classrooms,"Sorell, Traci",,,Pennsylvania,Central York School District,August 2021,Administration,2021
Lisa McMann,Fade (Wake Series),Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Lisa McMann,Fade (Wake Series),Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Charlie McNabb,"Nonbinary Gender Identities: History, Culture, Resources",Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Gretchen McNeil,#MurderTrending (MurderTrending Series),Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administration,2021
Anna McQuinn,Lola at the Library (Lola Series),Banned in Classrooms,,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,August 2021,Administration,2021
Anna McQuinn,Lola at the Library with Mommy (Lola Series),Banned in Classrooms,,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,August 2021,Administration,2021
Anna McQuinn,Lola Gets a Cat (Lola Series),Banned in Classrooms,,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,August 2021,Administration,2021
Anna McQuinn,Lola Goes to School (Lola Series),Banned in Classrooms,,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,August 2021,Administration,2021
Anna McQuinn,Lola Loves Stories (Lola Series),Banned in Classrooms,,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,August 2021,Administration,2021
Anna McQuinn,Lola Loves Stories with Daddy (Lola Series),Banned in Classrooms,,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,August 2021,Administration,2021
Anna McQuinn,Lola Plants a Garden (Lola Series),Banned in Classrooms,,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,August 2021,Administration,2021
Anna McQuinn,Lola Reads to Leo (Lola Series),Banned in Classrooms,,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,August 2021,Administration,2021
Anna McQuinn,Lola Sleeps Over (Lola Series),Banned in Classrooms,,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,August 2021,Administration,2021
Tobly McSmith,Act Cool,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Tobly McSmith,Stay Gold,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Richelle Mead,Vampire Academy (Vampire Academy Series),Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administration,2021
Richelle Mead,Vampire Academy (Vampire Academy Series),Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Wendy Meddour,Lubna and Pebble,Banned Pending Investigation,,"Egneus, Daniel",,Florida,Duval County Public Schools,January 2022,Administration,2022
Wendy Meddour,Lubna and Pebble,Banned in Classrooms,,"Egneus, Daniel",,Pennsylvania,Central York School District,August 2021,Administration,2021
Juana Medina,Juana & Lucas (Juana and Lucas Series),Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Meg Medina,Burn Baby Burn,Banned in Libraries,,,,Indiana,Middlebury Community Schools,December 2021,Administration,2021
Meg Medina,Burn Baby Burn,Banned in Classrooms,,,,Texas,Richardson Independent School District,September 2021,Administration,2021
Meg Medina,"Mango, Abuela, and Me",Banned in Classrooms,,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Administration,2021
Meg Medina,Yaqui Delgado Wants to Kick Your Ass,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Nico Medina,What Was Stonewall? (What was...? Series),Banned in Classrooms,,"Murray, Jake",,Pennsylvania,Central York School District,August 2021,Administration,2021
Nico Medina,Who Was Aretha Franklin? (Who was...? Series),Banned in Classrooms,,"Copeland, Gregory",,Pennsylvania,Central York School District,August 2021,Administration,2021
Tony Medina,I Am Alfonso Jones,Banned in Libraries and Classrooms,,"Robinson, Stacey; Jennings, John",,Florida,Indian River County School District,November 2021,Administration,2021
Tehlor Kay Mejia,We Set the Dark on Fire (We Set the Dark on Fire Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Nicole Melleby,In the Role of Brie Hutchens...,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Brad Meltzer,"I am Martin Luther King, Jr.",Banned in Classrooms,,"Eliopoulos, Christopher",,Pennsylvania,Central York School District,August 2021,Administration,2021
Brad Meltzer,I Am Rosa Parks,Banned in Classrooms,,"Eliopoulos, Christopher",,Pennsylvania,Central York School District,August 2021,Administration,2021
Leland Melvin,Chasing Space Young Readers' Edition,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Jelani Memory,A Kids Book About Racism,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Yamile Saied Mendez,¿De Dónde Eres?/Where Are You From?,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Carrie Mesrobian,Cut Both Ways,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Carrie Mesrobian,Cut Both Ways,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administration,2022
Carrie Mesrobian,Perfectly Good White Boy,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Carrie Mesrobian,Sex & Violence,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Marissa Meyer,Fairest: Levana's Story (The Lunar Chronicles Series),Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Stephenie Meyer,Eclipse (Twilight Series),Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Susan Meyers,Everywhere Babies,Banned Pending Investigation,,"Frazee, Marla",,Florida,Lee County Schools,March 2022,Administration,2022
Susan Meyers,Everywhere Babies,Banned Pending Investigation,,"Frazee, Marla",,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,2022
Susan Meyers,Everywhere Babies,Banned Pending Investigation,,"Frazee, Marla",,Florida,Walton County School District,April 2022,Administration,2022
Zanib Mian,Planet Omar: Accidental Trouble Magnet (Planet Omar Series),Banned in Classrooms,,"Mafaridik, Nasaya",,Pennsylvania,Central York School District,August 2021,Administration,2021
Zanib Mian,Planet Omar: Epic Hero Flop (Planet Omar Series),Banned in Classrooms,,"Cheng, Kyan",,Pennsylvania,Central York School District,August 2021,Administration,2021
Zanib Mian,Planet Omar: Incredible Rescue Mission (Planet Omar Series),Banned in Classrooms,,"Mafaridik, Nasaya",,Pennsylvania,Central York School District,August 2021,Administration,2021
Zanib Mian,Planet Omar: Unexpected Super Spy (Planet Omar Series),Banned in Classrooms,,"Mafaridik, Nasaya",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,Beware the Werewolf (Desmond Cole Ghost Patrol Series),Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,Campfire Stories (Desmond Cole Ghost Patrol Series),Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,Escape from the Roller Ghoster (Desmond Cole Ghost Patrol Series),Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,"Ghosts Don't Ride Bikes, Do They? (Desmond Cole Ghost Patrol Series)",Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,Ghouls Just Want to Have Fun (Desmond Cole Ghost Patrol Series),Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,Major Monster Mess (Desmond Cole Ghost Patrol Series),Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,Night of the Zombie Zookeeper (Desmond Cole Ghost Patrol Series),Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,"Now Museum, Now You Don't (Desmond Cole Ghost Patrol Series)",Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,"Surf's Up, Creepy Stuff! (Desmond Cole Ghost Patrol Series)",Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,The Haunted House Next Door (Desmond Cole Ghost Patrol Series),Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,The Scary Library Shusher (Desmond Cole Ghost Patrol Series),Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,The Sleepwalking Snowman (Desmond Cole Ghost Patrol Series),Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,The Vampire Ate My Homework (Desmond Cole Ghost Patrol Series),Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Andrés Miedoso,Who Wants I Scream? (Desmond Cole Ghost Patrol Series),Banned in Classrooms,,"Rivas, Víctor",,Pennsylvania,Central York School District,August 2021,Administration,2021
Ben Mikaelsen,Touching Spirit Bear (Spirit Bear Series),Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administration,2022
Zoe Hana Mikuta,Gearbreakers (Gearbreakers Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
J. P. Miller,Brave Leaders and Activists,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Linsey Miller,What We Devour,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Natalie Davis Miller,Swimming with Faith: The Missy Franklin Story (ZonderKidz Biography Series),Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Sharee Miller,Don't Touch My Hair!,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Denene Millner,Early Sunday Morning,Banned Pending Investigation,,"Brantley-Newton, Vanessa",,Florida,Duval County Public Schools,January 2022,Administration,2022
Denene Millner,Early Sunday Morning,Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administration,2021
Margaree King Mitchell,Uncle Jed's Barber Shop,Banned Pending Investigation,,"Ransome, James E.",,Florida,Duval County Public Schools,January 2022,Administration,2022
Saundra Mitchell,All the Things We Do in the Dark,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Saundra Mitchell,All the Things We Do in the Dark,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Saundra Mitchell,Out Now: Queer We Go Again!,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Ken Mochizuki,Baseball Saved Us,Banned in Libraries and Classrooms,,"Lee, Dom",,Florida,Indian River County School District,November 2021,Administration,2021
F.N. Monjo,The Drinking Gourd: A Story of the Underground Railroad,Banned Pending Investigation,,"Brenner, Fred",,Florida,Duval County Public Schools,January 2022,Administration,2022
Paco Montoya,No One Knows About You,Banned in Libraries,,,,Texas,Katy Independent School District,April 2022,Administration,2022
Carla Mooney,Should Abortion Be Legal?,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Eddie Moore Jr.,The Guide for White Women Who Teach Black Boys,Banned in Classrooms,"Penick-Parks, Marguerite W.; Michael, Ali",,,Pennsylvania,Central York School District,August 2021,Administration,2021
Alan Moore,V for Vendetta,Banned Pending Investigation,,"Lloyd, David",,Texas,Granbury Independent School District,January 2022,Administration,2022
Alan Moore,V for Vendetta,Banned in Classrooms,,"Lloyd, David",,Texas,Leander Independent School District,September 2021,Administration,2021
Alan Moore,V for Vendetta,Banned in Libraries,,"Lloyd, David",,Texas,North East Independent School District,December 2021,Administration,2021
Darnell L. Moore,No Ashes in the Fire: Coming of Age Black and Free in America,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Wes Moore,Discovering Wes Moore,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administration,2022
Oge Mora,Saturday,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Oge Mora,"Thank You, Omu!",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Pat Mora,Love to Mama: A Tribute To Mothers,Banned Pending Investigation,,"Barragán M., Paula S.",,Florida,Duval County Public Schools,January 2022,Administration,2022
