Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Year
Kristy Dallas Alley,The Ballad of Ami Miles,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Anthony Allison,Hear These Voices: Youth at the Edge of the Millennium,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
John Robert Allman,A is for Audra: Broadway's Leading Ladies from A to Z,Banned in Classrooms,,"Emmerich, Peter",,Pennsylvania,Central York School District,August 2021,Administration,2021
Linda Jacobs Altman,"Bioethics: Who Lives, Who Dies, And Who Decides?",Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Linda Jacobs Altman,"Bioethics: Who Lives, Who Dies, And Who Decides?",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Amnesty International,We Are All Born Free: The Universal Declaration of Human Rights in Pictures,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Rudolfo Anaya,"Bless Me, Ultima",Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
K. Ancrum,The Weight of the Stars,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Charlie Jane Anders,Victories Greater Than Death (Unstoppable Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Airlie Anderson,Neither,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Carol Anderson,White Rage: The Unspoken Truth of Our Racial Divide,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Laurie Halse Anderson,Shout,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Laurie Halse Anderson,Shout,Banned in Classrooms,,,,Texas,Leander Independent School District,September 2021,Administration,2021
Laurie Halse Anderson,Shout,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Laurie Halse Anderson,Speak,Banned Pending Investigation,,,,Florida,Flagler Schools,November 2021,Administration,2021
Laurie Halse Anderson,Speak,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Laurie Halse Anderson,Speak,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administration,2022
Laurie Halse Anderson,Speak,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administration,2022
Laurie Halse Anderson,Speak,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administration,2022
Laurie Halse Anderson,Speak,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
M. T. Anderson,Feed,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Arin Andrews,Some Assembly Required: The Not-So-Secret Life of a Transgender Teen,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jesse Andrews,Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Jesse Andrews,Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Florida,Osceola County School District,April 2022,Administration,2022
Jesse Andrews,Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administration,2022
Jesse Andrews,Me and Earl and the Dying Girl,Banned in Libraries,,,,Iowa,Ankeny Community School District,November 2021,Formal Challenge,2021
Jesse Andrews,Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Pennsylvania,Downingtown Area School District,October 2021,Administration,2021
Jesse Andrews,Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Pennsylvania,Elizabethtown Area School District,April 2022,Formal Challenge,2022
Jesse Andrews,Me and Earl and the Dying Girl,Banned in Libraries,,,,Tennessee,Blount County Schools,November 2021,Formal Challenge,2021
Jesse Andrews,Me and Earl and the Dying Girl,Banned in Libraries,,,,Texas,Cypress-Fairbanks Independent School District,January 2022,Administration,2022
Jesse Andrews,Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Jesse Andrews,Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Jesse Andrews,Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administration,2021
Jesse Andrews,Me and Earl and the Dying Girl,Banned in Libraries,,,,Texas,Keller Independent School District,November 2021,Formal Challenge,2021
Jesse Andrews,Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administration,2021
Jesse Andrews,Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jesse Andrews,The Haters,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administration,2022
Jesse Andrews,The Haters,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administration,2021
Jesse Andrews,The Haters,Banned Pending Investigation,,,,Michigan,Rochester Community Schools District,April 2022,Administration,2022
Troy Andrews,The 5 O'Clock Band,Banned in Classrooms,,"Collier, Bryan",,Pennsylvania,Central York School District,August 2021,Administration,2021
Troy Andrews,Trombone Shorty,Banned in Classrooms,,"Collier, Bryan",,Pennsylvania,Central York School District,August 2021,Administration,2021
Maya Angelou,And Still I Rise,Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administration,2021
Maya Angelou,I Know Why The Caged Bird Sings,Banned in Libraries and Classrooms,,,,Oklahoma,Bristow Public Schools,October 2021,Administration,2021
Maya Angelou,I Know Why The Caged Bird Sings,Banned in Libraries and Classrooms,,,,Oklahoma,Edmond Public Schools,October 2021,Administration,2021
Aziz Ansari,Modern Romance: An Investigation,Banned Pending Investigation,"Klinenberg, Eric",,,Missouri,Wentzville School District,October 2021,Formal Challenge,2021
Cindy Anstey,Duels and Deception,Banned in Libraries,,,,Texas,Katy Independent School District,April 2022,Administration,2022
