Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge,Year
The Last True Poets of the Sea,Julia Drake,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Formal Challenge,2023
Copper Sun,Sharon M. Draper,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Darkness Before Dawn,Sharon M. Draper,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Forged By Fire,Sharon M. Draper,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
November Blues,Sharon M. Draper,,,,The Jericho Trilogy,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Panic (SMD),Sharon M. Draper,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Battle of Jericho,Sharon M. Draper,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Van Gogh and Gauguin: The Studio of the South,Douglas W. Druick,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Salvage,Alexandra Duncan,,,,Salvage,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
After Summer,Nick Earls,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Belgariad,David Eddings,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Merriam-Webster's Elementary Dictionary,Editors of Merriam-Webster,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Webster's Dictionary and Thesaurus for Students,Editors of Merriam-Webster,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The American Heritage Children's Dictionary,Editors of the American Heritage dictionaries,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Angelfall,Susan Ee,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Circle,Dave Eggers,,,,The Circle,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Chain Reaction,Simone Elkeles,,,,Perfect Chemistry,Florida,Escambia County Public Schools,June 2024,Banned pending investigation,Formal Challenge,2024
Perfect Chemistry,Simone Elkeles,,,,Perfect Chemistry,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Unclear,2023
Bull,David Elliott,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Buried Heart,Kate Elliott,,,,Court of Fives,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Harrow Lake,Kat Ellis,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Butterfly Clues,Kate Ellison,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Invisible Man,Ralph Ellison,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Lying Woods,Ashley Elston,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
This Is Our Story,Ashley Elston,,,,,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
Pet,Akwaeke Emezi,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Dear Evan Hansen,Val Emmich,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Like Water for Chocolate,Laura Esquivel,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Horse Whisperer,Nicholas Evans,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Hank and Jim: The Fifty-Year Friendship of Henry Fonda and James Stewart,Scott Eyman,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Nothing Left to Burn,Heather Ezell,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Brain Jack,Brian Falkner,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Jekel Loves Hyde,Beth Fantaskey,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Aaliyah: More Than a Woman,Christopher John Farley,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
As I Lay Dying,William Faulkner,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Big Woods: The Hunting Stories,William Faulkner,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Light in August,William Faulkner,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Reivers,William Faulkner,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Sound and the Fury,William Faulkner,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
"The Best, Worst and Most Unusual: Noteworthy Achievements, Events, Feats and Blunders of Every Conceivable Kind",Bruce Felton,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Angel of Death,Alane Ferguson,,,,Forensic Mystery,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Christopher Killer,Alane Ferguson,,,,Forensic Mystery,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
The Circle of Blood,Alane Ferguson,,,,Forensic Mystery,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Best from Fantasy and Science Fiction: A Special 25th Anniversary Anthology,Edward L. Ferman,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
We Walked the Sky,Lisa Fiedler,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Your One and Only,Adrianne Finlay,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Incarceron,Catherine Fisher,,,,Incarceron,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
Sapphique,Catherine Fisher,,,,Incarceron,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
Tender is the Night,F. Scott Fitzgerald,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Under the Egg,Laura Marx Fitzgerald,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Black Ice,Becca Fitzpatrick,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Crescendo,Becca Fitzpatrick,,,,"The Hush, Hush Saga",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Finale,Becca Fitzpatrick,,,,"The Hush, Hush Saga",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Silence,Becca Fitzpatrick,,,,"The Hush, Hush Saga",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
What I Thought Was True,Huntley Fitzpatrick,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Madame Bovary: A Story of Provincial Life,Gustave Flaubert,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
"The Encyclopedia of Mythology: Gods, Heroes, and Legends of the Greeks and Romans",Eric Flaum,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Beastly,Alex Flinn,,,,Kendra Chronicles,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Bewitching,Alex Flinn,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Dark Places,Gillian Flynn,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Zoya's Story: An Afghan Woman's Struggle for Freedom,John Follain,"Follain, John; Cristofari, Rita",,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Man from St. Petersburg,Ken Follett,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Pillars of the Earth,Ken Follett,,,,Kingsbridge,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Atalanta: The Race Against Destiny,Justine Fontes,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Black Witch,Laurie Forest,,,,The Black Witch Chronicles,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
I Have Lost My Way,Gayle Forman,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
I Was Here,Gayle Forman,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
If I Stay,Gayle Forman,,,,If I Stay,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Just One Day,Gayle Forman,,,,Just One Day,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Just One Year,Gayle Forman,,,,Just One Day,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Where She Went,Gayle Forman,,,,If I Stay,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Gilded Ones,Namina Forna,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
We Are All Completely Beside Ourselves,Karen Joy Fowler,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
All the Bad Apples,Moïra Fowley-Doyle,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Spellbook of the Lost and Found,Moïra Fowley-Doyle,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Accident Season,Moïra Fowley-Doyle,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Slayride,Dick Francis,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Diary of a Young Girl,Anne Frank,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Friction,E.R. Frank,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Freedom,Jonathan Franzen,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Cold Mountain,Charles Frazier,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Season of the witch,Mariah Fredericks,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The true meaning of cleavage,Mariah Fredericks,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
To Have or to Be?,Erick Fromm,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Campaign,Carlos Fuentes,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Inkdeath,Cornelia Funke,,,,Inkworld,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
A Breath of Snow and Ashes,Diana Gabaldon,,,,Outlander,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
An Echo in the Bone,Diana Gabaldon,,,,Outlander,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Dragonfly in Amber,Diana Gabaldon,,,,Outlander,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Drums of Autumn,Diana Gabaldon,,,,Outlander,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Outlander,Diana Gabaldon,,,,Outlander,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Fiery Cross,Diana Gabaldon,,,,Outlander,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Voyager,Diana Gabaldon,,,,Outlander,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Written in My Own Heart's Blood,Diana Gabaldon,,,,Outlander,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
American Gods,Neil Gaiman,,,,American Gods,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Formal Challenge,2023
Norse Mythology,Neil Gaiman,,,,,Florida,Escambia County Public Schools,May 2024,Banned pending investigation,Administration,2024
Stardust,Neil Gaiman,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Ocean at the End of the Lane,Neil Gaiman,,,,,Florida,Escambia County Public Schools,May 2024,Banned pending investigation,Administration,2024
"The Sandman, Vol. 1: Preludes and Nocturnes",Neil Gaiman,,,,The Sandman,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Unclear,2023
"The Sandman, Vol. 10: The Wake",Neil Gaiman,,,,The Sandman,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Unclear,2023
"The Sandman, Vol. 2: The Doll's House",Neil Gaiman,,,,The Sandman,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Unclear,2023
"The Sandman, Vol. 3: Dream Country",Neil Gaiman,,,,The Sandman,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Unclear,2023
"The Sandman, Vol. 4: Season of Mists",Neil Gaiman,,,,The Sandman,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Unclear,2023
"The Sandman, Vol. 5: A Game of You",Neil Gaiman,,,,The Sandman,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Unclear,2023
"The Sandman, Vol. 6: Fables and Reflections",Neil Gaiman,,,,The Sandman,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Unclear,2023
"The Sandman, Vol. 7: Brief Lives",Neil Gaiman,,,,The Sandman,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Unclear,2023
"The Sandman, Vol. 8: World's End",Neil Gaiman,,,,The Sandman,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Unclear,2023
"The Sandman, Vol. 9: The Kindly Ones",Neil Gaiman,,,,The Sandman,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Unclear,2023
A Lesson Before Dying,Ernest J. Gaines,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Ancient Romans,Anita Ganeri,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Cazadora,Romina Garber,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Lobizona,Romina Garber,,,,Wolves of No World,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Caraval,Stephanie Garber,,,,Caraval,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
Legendary,Stephanie Garber,,,,Caraval,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
Love in the Time of Cholera,Gabriel García Márquez,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
One Hundred Years of Solitude,Gabriel García Márquez,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Lovely Reckless,Kami Garcia,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Bach: Music in the Castle of Heaven,John Eliot Gardiner,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Full Disclosure,Camryn Garrett,,,,,Florida,Escambia County Public Schools,April 2024,Banned pending investigation,Formal Challenge,2024
Air,Ryan Gattis,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Famous Players: The Mysterious Death of William Desmond Taylor,Rick Geary,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Of Jenny and the Aliens,Ryan Gebhart,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Wildman,J. C. Geiger,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Last American Hero: The Remarkable Life of John Glenn,Alice L. George,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Helen of Troy,Margaret George,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Distance From Me to You,Marina Gessner,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Ellen Foster,Kaye Gibbons,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Woodcuts of Women: Stories,Dagoberto Gilb,,,,,Florida,Escambia County Public Schools,March 2024,Banned pending investigation,Formal Challenge,2024
Sand and Foam,Lahlil Gilbran,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
That Night,Amy Giles,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Girls Like Us (2015),Gail Giles,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Endangered (LG),Lamar Giles,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Fake ID,Lamar Giles,,,,,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
Not So Pure and Simple,Lamar Giles,,,,,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
Stage Dreams,Melanie Gillman,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Girl Mans Up,M-E Girard,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Ethiopia,Steven Gish,,,,Cultures of the World,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Graphic Design,Milton Glaser,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
You'd Be Home Now,Kathleen Glasgow,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
"Guinness Book of World Records, 2000",Craig Glenday,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
"Guinness Book of World Records, 2018",Craig Glenday,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
"Guinness Book of World Records, 2019",Craig Glenday,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
"Guinness Book of World Records, 2020",Craig Glenday,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
"Guinness Book of World Records, 2023",Craig Glenday,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
After the Game,Abbi Glines,,,,The Field Party,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Losing the Field,Abbi Glines,,,,The Field Party,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Under the Lights,Abbi Glines,,,,The Field Party,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Envy,Anna Godberson,,,,Luxe,Florida,Escambia County Public Schools,December 2023,Banned by restriction,Administration,2023
Rumors,Anna Godberson,,,,Luxe,Florida,Escambia County Public Schools,December 2023,Banned by restriction,Administration,2023
The Luxe,Anna Godberson,,,,Luxe,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
King of the Screwups,K. L. Going,,,,,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
Saint Iggy,K. L. Going,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Fat Kid Rules the World,K.L. Going,,,,,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
Memoirs of a Geisha,Arthur Golden,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Lord of the Flies,William Golding,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Love and Other Carnivorous Plants,Florence Gonsalves,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Only Mostly Devastated,Sophie Gonzales,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Wings (JG),Julie Gonzalez,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Dark Days Club,Alison Goodman,,,,A Lady Helen Novel,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Jack the Ripper,Richard Gordon,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Under Rose-Tainted Skies,Louise Gornall,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
In Too Deep,Amanda Grace,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Pride and Prejudice and Zombies: The Classic Regency Romance -- Now With Ultraviolent Zombie Mayhem,Seth Grahame-Smith,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Front Lines,Michael Grant,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Strange Grace,Tessa Gratton,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
A Thousand Pieces of You,Claudia Gray,,,,,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
Defy the Stars,Claudia Gray,,,,Defy the Stars Triology,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
Going Bovine,Libba Gray,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
I Never Promised You a Rose Garden,Hannah Green,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
An Abundance of Katherines,John Green,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Paper Towns,John Green,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Fault in Our Stars,John Green,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Half Bad,Sally Green,,,,The Half Bad Trilogy,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
Half Lost,Sally Green,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Half Wild,Sally Green,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Little Princes: One Man's Promise to Bring Home the Lost Children of Nepal,Conor Grennan,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
All You Never Wanted,Adele Griffin,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Loud Awake and Lost,Adele Griffin,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Unfinished Life of Addison Stone,Adele Griffin,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Handcuffs,Bethany Griffin,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Black Like Me,John Howard Griffin,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Stay With Me (PG),Paul Griffin,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
A Painted House,John Grisham,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Sycamore Row,John Grisham,,,,Jake Brigance,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Associate,John Grisham,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Brethren,John Grisham,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Firm,John Grisham,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The King of Torts,John Grisham,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Last Juror,John Grisham,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Pelican Brief,John Grisham,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Runaway Jury,John Grisham,,,,,Florida,Escambia County Public Schools,May 2024,Banned pending investigation,Administration,2024
The Street Lawyer,John Grisham,,,,,Florida,Escambia County Public Schools,May 2024,Banned pending investigation,Administration,2024
A Time to Kill,John Grishman,,,,Jake Brigance,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Snow Falling on Cedars,David Guterson,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Music of Summer,Rosa Guy,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Mister Death's Blue-Eyed Girls,Mary Downing Hahn,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Wind Blows Backward,Mary Downing Hahn,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Friends Forever,Shannon Hale,,"Pham, LeUyen",,Friends,Florida,Escambia County Public Schools,July 2023,Banned pending investigation,Unclear,2023
The Conspiracy of Us,Maggie Hall,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Gods and Goddesses: A Treasury of Deities and Tales from World Mythology,Elizabeth Hallam,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
"Always and Forever, Lara Jean",Jenny Han,,,,To All the Boys I've Loved Before,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Ashes to Ashes,Jenny Han,"Vivian, Siobhan",,,The Burn for Burn Trilogy,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
P. S. I Still Love You,Jenny Han,,,,To All the Boys I've Loved Before,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
To All the Boys I've Loved Before,Jenny Han,,,,To All the Boys I've Loved Before,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
Why We Broke Up,Daniel Handler,,"Kalman, Maira",,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
King Arthur and the Knights of the Round Table,Joshua E. Hanft,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Tess of the D'Urbervilles,Thomas Hardy,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Gnomon,Nick Harkaway,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Clarity,Kim Harrington,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Silence of the Lambs,Thomas Harris,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
West of Eden,Harry Harrison,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The King of Lies,John Hart,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Three Truths and a Lie,Brent Hartinger,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Tess of the Road,Rachel Hartman,,,,Tess of the Road,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
What We Saw,Aaron Hartzler,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Girlchild,Tupelo Hassman,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Our Year in Love and Parties,Karen Hattrup,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Eden West,Pete Hautman,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Into the Water,Paula Hawkins,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
The Girl on the Train,Paula Hawkins,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
OCD Love Story,Corey Ann Haydu,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Paper Butterflies,Lisa Heathfield,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Catch-22,Joseph Heller,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
For Whom the Bell Tolls,Ernest Hemingway,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
A Million Junes,Emily Henry,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
Heretics of Dune,Frank Herbert,,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,2023
They Went Left,Monica Hesse,,,,,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,2023
